Year,Skater,SP Total,SP TES,SP PC,Quads in SP,FS Total,FS TES,FS PC,Quads in FS
2005,Lambiel,80.28,42.56,37.72,1,144.18,67.32,76.86,2
2005,Buttle,77.39,40.5,36.89,0,136.3,63.42,74.88,0
2005,Sandhu,67.3,33.72,33.58,1,134.13,62.25,72.88,1
2005,Lysacek,73.42,38.71,34.71,0,133.74,63.18,70.56,0
2005,Van Der Perren,66.51,34.68,31.83,0,133.51,68.71,64.8,0
2005,Weir,70.5,35.93,35.57,0,133.36,60.72,72.64,0
2005,Li,72.61,38.86,33.75,1,130.83,64.27,66.56,2
2005,Dambier,68.1,37.03,31.07,1,130.3,63.6,66.7,1
2005,Goebel,62.95,31.95,32,1,129.84,68.04,63.8,1
2005,Lindemann,53.46,22.18,33.28,1,127.58,62.28,66.3,1
2005,Dinev,55.66,26.27,29.39,0,126.72,65.78,60.94,0
2005,Zhang,54.81,27.42,28.39,1,123.17,67.67,55.5,2
2005,Joubert,79.66,41.95,37.71,1,122.63,53.97,70.66,1
2005,Berntsson,64.54,35.29,29.25,0,119.22,65.02,54.2,0
2005,Dobrin,58.58,28.32,30.26,0,116.92,59.58,57.34,0
2005,Griazev,70.69,37.41,33.28,0,116.39,52.51,64.88,1
2005,Chiper,56.87,30.25,28.62,0,113.06,55.34,59.72,0
2005,Takahashi,72.18,39.58,32.6,1,108.04,50.12,60.92,0
2005,Zelenka,55.55,29.19,26.36,0,106.22,54.36,51.86,0
2005,Serov,58.13,32.46,25.67,0,106.19,55.27,50.92,0
2005,Othman,54.89,26.35,28.54,0,104.51,52.49,53.02,0
2005,Davydov,49.59,22.03,28.56,0,99.76,47.56,52.2,0
2005,Pfeifer,54.94,29.9,25.04,0,97.64,51.06,47.58,0
2006,Lambiel,77.41,39.49,37.92,1,156.58,78.7,77.88,2
2006,Joubert,80.31,42.88,37.43,1,156.47,79.99,76.48,2
2006,Lysacek,70.32,34.07,36.25,0,149.97,76.97,73,1
2006,Sandhu,78.41,41.87,37.54,1,142.53,66.83,75.7,1
